#Source  output Signal,Width,Source Module,Source Instance,F/T TLM1 ,F/T TLM2,F/T TLM13,Destination Module,Destination Instance,Destination  input Signal,Width,
rv32_cpu_halt_req,,sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,i_cpu_halt_req,,
rv32_cpu_run_req,,sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,i_cpu_run_req,,
rv32_dbg_rst_l,,sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,dbg_rst_l ,,
rv32_spare_core_in,,sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,rv32_sys_spare,,
rv32_rst_vec,,sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,rst_vec,,
rv32_sw_int,,sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,sw_int,,
sys_scan_mode,[1],sys_top,sys_top_i,tule64_wrapper,,,rv32_wrapper,rv32_i,scan_mode,,
,,,,,,,,,,,
spare_core_out,,rv32_wrapper,rv32_i,tule64_wrapper,,,sys_top,sys_top_i,rv32_spare_core_out,,
rv32_cpu_run_ack,,rv32_wrapper,rv32_i,tule64_wrapper,,,sys_top,sys_top_i,rv32_cpu_halt_ack,,
o_cpu_halt_status,,rv32_wrapper,rv32_i,tule64_wrapper,,,sys_top,sys_top_i,rv32_cpu_halt_status,,
o_cpu_run_ack,,rv32_wrapper,rv32_i,tule64_wrapper,,,sys_top,sys_top_i,rv32_cpu_run_ack,,
,,,,,,,,,,,
rv64_dbg_rst_l [0],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,,rv64ooo_wrapper,rv64ooo_i_0,dbg_rst_l,      ,
rv64_dbg_rst_l [1],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,,rv64ooo_wrapper,rv64ooo_i_1,dbg_rst_l,      ,
rv64_dbg_rst_l [2],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,,rv64_wrapper,rv64_i_2,dbg_rst_l ,      ,
rv64_dbg_rst_l [3],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,,rv64_wrapper,rv64_i_3,dbg_rst_l ,      ,
,,,,,,,,,,,
rv64_dbg_rst_l [0],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,dbg_rst_l ,      ,
rv64_nmi_int [0]            ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,nmi_int,      ,
rv64_nmi_vec [0]            ,[38:1],sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,nmi_vec,[38:1],
rv64_rst_vec [0]            ,[38:1],sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,rst_vec,[38:1],
rv64_sw_int [0],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,sw_int,      ,
rv64_ssw_int [0],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,ssw_int,      ,
rv64_plic_context0 [0]      ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,plic_context0,      ,
rv64_plic_context1 [0]      ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,plic_context1,      ,
rv64_timer_int [0]          ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,timer_int,      ,
rv64_mpc_debug_halt_req [0] ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,mpc_debug_halt_req,      ,
rv64_mpc_debug_run_req [0]  ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,mpc_debug_run_req,      ,
rv64_mpc_reset_run_req [0]  ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,mpc_reset_run_req ,      ,
rv64_spare_core_in [0] , [7:0],sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,spare_core_in, [7:0],
rv64_si [0] ,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,si,      ,
rv64_scan_enable [0],      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,scan_enable,      ,
rv64_0_cpu_halt_req,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,i_cpu_halt_req,      ,
